X,Y,field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8,field_9,result_num,status,formatted_,place_id,location_t,latlong,icon_url
7.1911567,51.4018117,Hattingen,"59392","57373","58241","58329","55510","54438",Nordrhein-Westfalen,"1","0",OK,"Hattingen, Germany",ChIJ3Y-fy8fYuEcRwIdUMYHyJwQ,APPROXIMATE,"51.4018117,7.1911567",./0.png
8.6724335,49.3987524,Heidelberg,"121398","133227","136796","140259","147312","161485",Baden-WÃ¼rttemberg,"1","0",OK,"Heidelberg, Germany",ChIJzdzMDgXBl0cR1zokRADq5u8,APPROXIMATE,"49.3987524,8.6724335",./0.png
9.210879,49.1426929,Heilbronn,"102300","111938","115843","119305","122879","126592",Baden-WÃ¼rttemberg,"1","0",OK,"Heilbronn, Germany",ChIJ0VFNsJcomEcRcJAJjTz9HwQ,APPROXIMATE,"49.1426929,9.210879",./0.png
8.6793998,52.1178305,Herford,"65422","62881","63893","65083","64088","66638",Nordrhein-Westfalen,"1","0",OK,"Herford, Germany",ChIJZ3fpXhEUukcR4INUMYHyJwQ,APPROXIMATE,"52.1178305,8.679399799999999",./0.png
7.2009147,51.5368948,Herne,"103849","182542","178132","174529","164762","156449",Nordrhein-Westfalen,"1","0",OK,"Herne, Germany",ChIJFaN4ZIPhuEcRgIdUMYHyJwQ,APPROXIMATE,"51.5368948,7.200914699999999",./0.png
7.1389575,51.6020534,Herten,"52966","69247","69245","66930","62235","61821",Nordrhein-Westfalen,"1","0",OK,"Herten, Germany",ChIJtzPDlfPkuEcRDafmn3qjuJc,APPROXIMATE,"51.6020534,7.1389575",./0.png
6.9352253,51.1678567,Hilden,"50228","53343","54782","56412","55441","55625",Nordrhein-Westfalen,"1","0",OK,"Hilden, Germany",ChIJ3Y7trGXNuEcRgHUqSvxgJwQ,APPROXIMATE,"51.16785669999999,6.9352253",./0.png
9.9579652,52.154778,Hildesheim,"93373","102619","105291","103909","102794","101693",Niedersachsen,"1","0",OK,"Hildesheim, Germany",ChIJI8rR7qmvukcR0oNx5PXB7o4,APPROXIMATE,"52.154778,9.9579652",./0.png
6.8881425,50.8805932,HÃ¼rth,"52235","50794","50808","53261","57922","59731",Nordrhein-Westfalen,"1","0",OK,"50354 Hürth, Germany",ChIJoY6tyrQ8v0cRUwyrptV7YSw,APPROXIMATE,"50.8805932,6.8881425",./0.png
7.7189946,52.2767721,IbbenbÃ¼ren,"17561","42323","44643","48843","51522","51822",Nordrhein-Westfalen,"1","0",OK,"Ibbenbüren, Germany",ChIJi0593i7FuUcR8IBUMYHyJwQ,APPROXIMATE,"52.2767721,7.718994599999999",./0.png
